Index,PctInt*100,Lumens,x,y
164,489,0.42388,0.6878,0.312
165,492,0.42709,0.6876,0.3122
166,495,0.42758,0.6876,0.3122
167,498,0.42775,0.6878,0.312
168,501,0.42887,0.6877,0.3122
169,504,0.43114,0.6876,0.3122
170,507,0.43579,0.6878,0.3121
171,510,0.43981,0.6876,0.312
172,513,0.44283,0.6876,0.3123
173,516,0.44784,0.6877,0.3122
174,519,0.4505,0.6877,0.3121
175,522,0.45353,0.6878,0.3121
176,525,0.45453,0.6878,0.312
177,528,0.45933,0.6878,0.3121
178,531,0.46306,0.6877,0.3121
179,534,0.4674,0.6876,0.3122
180,537,0.47164,0.6877,0.3121
181,540,0.47845,0.6878,0.3121
182,543,0.48028,0.6877,0.3122
183,546,0.48041,0.6879,0.3121
184,549,0.48074,0.6877,0.3121
185,552,0.48106,0.6878,0.3121
186,555,0.48319,0.6877,0.3122
187,558,0.49104,0.6878,0.3121
188,561,0.49406,0.6878,0.3121
189,564,0.49649,0.6877,0.3121
190,567,0.49916,0.6878,0.3121
191,570,0.50384,0.6876,0.3122
192,573,0.50657,0.6878,0.3121
193,576,0.50878,0.6878,0.3121
194,579,0.51202,0.6875,0.3122
195,582,0.51406,0.6877,0.3122
196,585,0.51805,0.6877,0.312
197,588,0.52078,0.6877,0.3122
198,591,0.52608,0.6878,0.312
199,594,0.52922,0.6879,0.3121
200,597,0.53118,0.6878,0.3121
201,600,0.53633,0.6878,0.3121
202,603,0.54095,0.6877,0.3122
203,606,0.54692,0.6878,0.3121
204,609,0.54829,0.6878,0.312
205,612,0.54818,0.6878,0.3121
206,615,0.54812,0.6878,0.312
207,618,0.54899,0.6878,0.3121
208,621,0.54999,0.6877,0.3121
209,624,0.55767,0.6877,0.3121
210,627,0.56065,0.6878,0.3121
211,630,0.56379,0.6878,0.312
212,633,0.56686,0.6878,0.3121
213,636,0.56972,0.6878,0.312
214,639,0.57299,0.6878,0.312
215,642,0.57618,0.6876,0.3122
216,645,0.57965,0.6878,0.3119
217,648,0.58412,0.6878,0.3121
218,651,0.58877,0.6878,0.312
219,654,0.59101,0.6877,0.312
220,657,0.59194,0.6878,0.312
221,660,0.59361,0.6877,0.312
222,663,0.59815,0.6876,0.3121
223,666,0.60015,0.6877,0.3121
224,669,0.60521,0.6878,0.3121
225,672,0.60704,0.6878,0.312
226,675,0.60912,0.6879,0.312
227,678,0.61469,0.6878,0.3121
228,681,0.61827,0.6878,0.3121
229,684,0.62137,0.6877,0.3121
230,687,0.63194,0.6879,0.312
231,690,0.63666,0.6877,0.3121
232,693,0.63751,0.6878,0.312
233,696,0.63745,0.6879,0.3119
234,699,0.6372,0.6878,0.312
235,702,0.63787,0.6878,0.312
236,705,0.63771,0.6879,0.312
237,708,0.63875,0.6879,0.3119
238,711,0.64462,0.688,0.3118
239,714,0.64814,0.6881,0.3117
240,717,0.65289,0.6882,0.3117
241,720,0.65587,0.6881,0.3117
242,723,0.65923,0.6881,0.3118
243,726,0.6661,0.688,0.3118
244,729,0.66954,0.688,0.3117
245,732,0.67199,0.6881,0.3118
246,735,0.67527,0.6881,0.3117
247,738,0.67783,0.688,0.3118
248,741,0.68023,0.688,0.3118
249,744,0.68362,0.6881,0.3118
250,747,0.68775,0.688,0.3119
251,750,0.69181,0.6883,0.3116
252,753,0.69458,0.6883,0.3116
253,756,0.695,0.6882,0.3116
254,759,0.69528,0.688,0.3118
255,762,0.69624,0.688,0.3119
256,765,0.70353,0.6882,0.3117
257,768,0.70686,0.6879,0.3119
258,771,0.70983,0.6882,0.3117
259,774,0.71378,0.6882,0.3116
260,777,0.72034,0.6881,0.3117
261,780,0.7219,0.6882,0.3116
262,783,0.72573,0.6882,0.3117
263,786,0.73158,0.688,0.3118
264,789,0.73201,0.6879,0.3119
265,792,0.73429,0.6881,0.3118
266,795,0.74123,0.6882,0.3117
267,798,0.74374,0.6882,0.3117
268,801,0.74696,0.6881,0.3117
269,804,0.75074,0.688,0.3118
270,807,0.75905,0.6881,0.3118
271,810,0.7592,0.688,0.3118
272,813,0.75894,0.6881,0.3118
273,816,0.75867,0.6881,0.3118
274,819,0.75802,0.6882,0.3116
275,822,0.75871,0.6881,0.3118
276,825,0.75891,0.688,0.3118
277,828,0.75867,0.688,0.3119
278,831,0.76236,0.6882,0.3116
279,834,0.76674,0.6882,0.3116
280,837,0.77019,0.6882,0.3117
281,840,0.77332,0.688,0.3118
282,843,0.77634,0.6882,0.3117
283,846,0.78111,0.6883,0.3115
284,849,0.78469,0.6882,0.3117
285,852,0.78768,0.6882,0.3116
286,855,0.79289,0.6881,0.3118
287,858,0.79589,0.688,0.3118
288,861,0.8002,0.6882,0.3116
289,864,0.8021,0.688,0.3118
290,867,0.80607,0.6881,0.3117
291,870,0.80844,0.688,0.3118
292,873,0.81084,0.688,0.3116
293,876,0.81377,0.6879,0.3119
294,879,0.81677,0.6881,0.3117
295,882,0.81886,0.6881,0.3117
296,885,0.82329,0.6881,0.3118
297,888,0.82547,0.6882,0.3116
298,891,0.82796,0.6882,0.3117
299,894,0.83237,0.688,0.3119
300,897,0.83822,0.6881,0.3117
301,900,0.84066,0.6882,0.3117
302,903,0.84091,0.6882,0.3116
303,906,0.8407,0.6882,0.3117
304,909,0.84115,0.6881,0.3117
305,912,0.8434,0.6882,0.3117
306,915,0.8497,0.6883,0.3116
307,918,0.85317,0.6882,0.3116
308,921,0.85542,0.6882,0.3116
309,924,0.86511,0.6882,0.3117
310,927,0.86631,0.6883,0.3115
311,930,0.87041,0.6881,0.3116
