Index,PctInt*100,Lumens,x,y
169,504,0.28807,0.1263,0.0643
170,507,0.28775,0.1263,0.0641
171,510,0.28785,0.1263,0.0642
172,513,0.28776,0.1262,0.0641
173,516,0.28781,0.1264,0.0643
174,519,0.29032,0.1261,0.0637
175,522,0.29244,0.1262,0.0634
176,525,0.29345,0.1262,0.0635
177,528,0.29604,0.1262,0.0636
178,531,0.29738,0.1265,0.0643
179,534,0.29809,0.1263,0.0636
180,537,0.2994,0.1267,0.0642
181,540,0.30236,0.1263,0.0634
182,543,0.30397,0.1265,0.0635
183,546,0.30523,0.1264,0.0637
184,549,0.30656,0.1263,0.0634
185,552,0.30876,0.1264,0.0634
186,555,0.3098,0.1263,0.0632
187,558,0.31167,0.1264,0.0635
188,561,0.31369,0.1264,0.0635
189,564,0.3146,0.1264,0.0634
190,567,0.31596,0.1264,0.0636
191,570,0.31821,0.1268,0.0637
192,573,0.31968,0.1267,0.0636
193,576,0.32182,0.1265,0.0632
194,579,0.32394,0.1264,0.0634
195,582,0.32454,0.1265,0.0633
196,585,0.32594,0.1264,0.0633
197,588,0.32658,0.1266,0.0632
198,591,0.32757,0.1265,0.0631
199,594,0.32883,0.1267,0.0635
200,597,0.33082,0.1264,0.0632
201,600,0.33236,0.1265,0.0633
202,603,0.33362,0.1265,0.0633
203,606,0.33569,0.1267,0.0633
204,609,0.33801,0.1269,0.0639
205,612,0.33953,0.1265,0.063
206,615,0.34167,0.1267,0.0631
207,618,0.34524,0.1268,0.0634
208,621,0.34515,0.1267,0.0633
209,624,0.34503,0.1267,0.0635
210,627,0.34508,0.1269,0.0634
211,630,0.34493,0.1268,0.0634
212,633,0.34476,0.1267,0.0631
213,636,0.3447,0.1267,0.0631
214,639,0.34503,0.1266,0.063
215,642,0.34683,0.1266,0.0632
216,645,0.34872,0.1267,0.0631
217,648,0.35216,0.1268,0.0634
218,651,0.35382,0.1266,0.0628
219,654,0.35494,0.1267,0.0629
220,657,0.35635,0.1267,0.063
221,660,0.3573,0.1267,0.0628
222,663,0.35875,0.1267,0.0628
223,666,0.35981,0.1268,0.063
224,669,0.36114,0.1269,0.063
225,672,0.36286,0.1268,0.063
226,675,0.36487,0.1271,0.0632
227,678,0.36658,0.1268,0.0629
228,681,0.36752,0.1268,0.0628
229,684,0.3687,0.1268,0.0627
230,687,0.37056,0.1267,0.0626
231,690,0.37111,0.1269,0.0632
232,693,0.37228,0.1268,0.0627
233,696,0.37511,0.1269,0.0627
234,699,0.37544,0.1269,0.0628
235,702,0.37613,0.1269,0.0628
236,705,0.37733,0.1269,0.0626
237,708,0.3785,0.1269,0.0626
238,711,0.37972,0.127,0.0626
239,714,0.38006,0.127,0.0626
240,717,0.38427,0.1269,0.0625
241,720,0.38479,0.127,0.0627
242,723,0.38531,0.1271,0.0628
243,726,0.38748,0.127,0.0627
244,729,0.38824,0.1271,0.0627
245,732,0.38855,0.1269,0.0626
246,735,0.38872,0.1271,0.0627
247,738,0.39083,0.1273,0.0627
248,741,0.39236,0.1271,0.0626
249,744,0.39282,0.1271,0.0624
250,747,0.39408,0.1271,0.0625
251,750,0.39609,0.1272,0.0625
252,753,0.39706,0.1271,0.0625
253,756,0.40005,0.1271,0.0624
254,759,0.40136,0.1272,0.0625
255,762,0.40249,0.127,0.0624
