Index,PctInt*100,Lumens,x,y
169,504,0.56831,0.6879,0.3117
170,507,0.56874,0.6882,0.3116
171,510,0.56928,0.6883,0.3116
172,513,0.57118,0.6883,0.3115
173,516,0.57803,0.6883,0.3115
174,519,0.58394,0.6882,0.3116
175,522,0.58596,0.688,0.3117
176,525,0.5884,0.6881,0.3117
177,528,0.59425,0.6882,0.3117
178,531,0.5956,0.6882,0.3116
179,534,0.59785,0.6882,0.3114
180,537,0.6007,0.6882,0.3116
181,540,0.605,0.688,0.3116
182,543,0.60841,0.6881,0.3118
183,546,0.61137,0.6882,0.3117
184,549,0.61505,0.6884,0.3115
185,552,0.61859,0.6882,0.3116
186,555,0.621,0.6882,0.3116
187,558,0.62541,0.6883,0.3115
188,561,0.6297,0.6884,0.3115
189,564,0.63083,0.6883,0.3116
190,567,0.63331,0.6882,0.3117
191,570,0.63767,0.6884,0.3115
192,573,0.6392,0.6881,0.3117
193,576,0.64212,0.6883,0.3115
194,579,0.6447,0.6883,0.3115
195,582,0.64701,0.6882,0.3115
196,585,0.65051,0.6883,0.3115
197,588,0.65307,0.6881,0.3117
198,591,0.6563,0.6881,0.3116
199,594,0.658,0.6881,0.3116
200,597,0.66182,0.6882,0.3116
201,600,0.66548,0.6882,0.3117
202,603,0.66861,0.6881,0.3114
203,606,0.67083,0.6883,0.3115
204,609,0.67527,0.6881,0.3117
205,612,0.67586,0.6882,0.3116
206,615,0.67675,0.6884,0.3115
207,618,0.68426,0.6881,0.3115
208,621,0.68943,0.6883,0.3115
209,624,0.69257,0.6882,0.3116
210,627,0.69518,0.688,0.3118
211,630,0.69951,0.6885,0.3114
212,633,0.70143,0.6883,0.3114
213,636,0.70197,0.6882,0.3116
214,639,0.70186,0.6882,0.3116
215,642,0.70221,0.6883,0.3116
216,645,0.70219,0.6885,0.3115
217,648,0.70272,0.6884,0.3114
218,651,0.70559,0.6884,0.3113
219,654,0.70801,0.6881,0.3112
220,657,0.71438,0.6883,0.3113
221,660,0.71755,0.6882,0.3114
222,663,0.72143,0.6878,0.3119
223,666,0.72384,0.6884,0.3116
224,669,0.72894,0.6886,0.3114
225,672,0.7311,0.6878,0.3114
226,675,0.73405,0.688,0.3113
227,678,0.73781,0.688,0.3119
228,681,0.73982,0.6878,0.3115
229,684,0.7427,0.688,0.3114
230,687,0.74672,0.6883,0.3117
231,690,0.74893,0.6879,0.3117
232,693,0.74989,0.688,0.3114
233,696,0.75199,0.6876,0.3117
234,699,0.75485,0.688,0.3114
235,702,0.75807,0.6881,0.3114
236,705,0.75958,0.6877,0.3114
237,708,0.76105,0.688,0.3117
238,711,0.76289,0.6881,0.3116
239,714,0.7643,0.6874,0.3119
240,717,0.76841,0.6879,0.3118
241,720,0.7707,0.6884,0.3113
242,723,0.77525,0.6879,0.3118
243,726,0.77679,0.6878,0.3119
244,729,0.77833,0.6881,0.3118
245,732,0.78078,0.6874,0.3119
246,735,0.7835,0.6879,0.3115
247,738,0.7876,0.688,0.312
248,741,0.78925,0.6883,0.3115
249,744,0.79147,0.6883,0.3115
250,747,0.79437,0.6882,0.3114
251,750,0.79709,0.6877,0.3121
252,753,0.80002,0.6883,0.3117
253,756,0.80715,0.6885,0.3115
254,759,0.80773,0.688,0.3118
255,762,0.80809,0.6884,0.3116
256,765,0.81502,0.6876,0.3118
257,768,0.81684,0.6879,0.3119
258,771,0.81945,0.6874,0.3114
259,774,0.82197,0.688,0.3116
260,777,0.82568,0.688,0.3115
261,780,0.82711,0.6882,0.3114
262,783,0.83164,0.6878,0.3114
263,786,0.83357,0.6881,0.3115
264,789,0.83713,0.688,0.3118
265,792,0.83929,0.6876,0.3118
266,795,0.84463,0.6884,0.3116
267,798,0.84673,0.6881,0.3115
268,801,0.84848,0.6884,0.3114
269,804,0.85191,0.6878,0.3117
270,807,0.85538,0.6881,0.3113
271,810,0.85727,0.6884,0.3116
272,813,0.85963,0.6881,0.3117
273,816,0.86461,0.6874,0.3116
274,819,0.86694,0.688,0.3115
275,822,0.86895,0.6884,0.3114
276,825,0.87049,0.688,0.3115
277,828,0.86986,0.6881,0.3113
278,831,0.87076,0.6881,0.3114
279,834,0.87657,0.6878,0.3115
280,837,0.8795,0.6885,0.3114
281,840,0.88303,0.6886,0.3114
282,843,0.88611,0.6883,0.3115
283,846,0.88999,0.6877,0.3114
284,849,0.8909,0.6884,0.3112
285,852,0.89382,0.6876,0.3116
286,855,0.89862,0.6881,0.3114
287,858,0.89997,0.6887,0.3112
288,861,0.90318,0.6882,0.3116
289,864,0.90541,0.6881,0.3115
290,867,0.90912,0.6883,0.3115
291,870,0.91782,0.6879,0.3113
292,873,0.92451,0.6886,0.3114
293,876,0.92618,0.6884,0.3114
294,879,0.92672,0.6882,0.3115
295,882,0.92681,0.6883,0.3113
296,885,0.92628,0.6881,0.3117
297,888,0.92709,0.6883,0.3115
298,891,0.92673,0.6882,0.3115
299,894,0.92912,0.6881,0.3113
300,897,0.93623,0.6884,0.3115
301,900,0.94036,0.6886,0.3112
302,903,0.94262,0.6882,0.3114
303,906,0.94593,0.6885,0.3114
304,909,0.94786,0.6878,0.3115
305,912,0.95002,0.6879,0.3115
306,915,0.95397,0.6879,0.3113
307,918,0.95615,0.688,0.3116
308,921,0.9576,0.6883,0.3113
309,924,0.96313,0.6886,0.3114
310,927,0.96447,0.6884,0.3116
311,930,0.96683,0.6883,0.3114
312,933,0.9703,0.688,0.3109
313,936,0.9721,0.6882,0.3115
314,939,0.97453,0.6884,0.3115
315,942,0.9771,0.688,0.3114
316,945,0.97759,0.6879,0.3116
317,948,0.97989,0.6883,0.3112
318,951,0.98305,0.688,0.3115
319,954,0.98479,0.6884,0.3114
320,957,0.98656,0.6886,0.3113
321,960,0.98832,0.6885,0.3113
322,963,0.99373,0.6883,0.3114
323,966,0.99403,0.6883,0.3113
324,969,0.99688,0.6882,0.3115
325,972,0.99875,0.6886,0.3113
326,975,1.003,0.6888,0.311
327,978,1.0054,0.6884,0.3115
328,981,1.0076,0.688,0.3114
329,984,1.0099,0.6882,0.3116
330,987,1.0137,0.6885,0.3112
331,990,1.016,0.6881,0.3115
332,993,1.0193,0.6884,0.3114
333,996,1.0232,0.6882,0.3115
334,999,1.0238,0.6884,0.3115
335,1010,1.034,0.6881,0.3117
336,1020,1.0476,0.6879,0.3111
337,1030,1.0586,0.6882,0.3116
338,1040,1.0677,0.6885,0.3113
339,1050,1.0753,0.6882,0.3115
340,1060,1.0832,0.6879,0.3118
341,1070,1.0941,0.6887,0.3113
342,1080,1.1006,0.6884,0.3113
343,1090,1.1103,0.688,0.3115
344,1100,1.1193,0.6882,0.3112
345,1110,1.1285,0.6885,0.3111
346,1120,1.1361,0.6884,0.3114
347,1130,1.1441,0.6884,0.3114
348,1140,1.1579,0.6878,0.3113
349,1150,1.1665,0.6882,0.3114
350,1160,1.1759,0.6883,0.3112
351,1170,1.1845,0.6886,0.3113
352,1180,1.193,0.6881,0.3114
353,1190,1.2022,0.6881,0.3114
354,1200,1.2131,0.6882,0.3112
355,1210,1.2205,0.6883,0.3115
356,1220,1.2298,0.6881,0.3112
357,1230,1.2374,0.6885,0.3109
358,1240,1.2446,0.6883,0.3114
359,1250,1.2533,0.6884,0.3113
360,1260,1.2633,0.6887,0.3111
361,1270,1.271,0.6885,0.3113
362,1280,1.2752,0.6887,0.3111
363,1290,1.287,0.6886,0.3112
364,1300,1.2953,0.6884,0.3112
365,1310,1.3049,0.6889,0.3111
366,1320,1.3132,0.6889,0.3111
367,1330,1.322,0.6887,0.3111
368,1340,1.3289,0.6887,0.3111
369,1350,1.3385,0.6885,0.3111
370,1360,1.3485,0.6889,0.311
371,1370,1.3548,0.6884,0.3112
372,1380,1.3611,0.6884,0.3112
373,1390,1.3715,0.6882,0.3115
374,1400,1.3833,0.6881,0.311
375,1410,1.392,0.6887,0.3112
376,1420,1.3993,0.6887,0.3113
377,1430,1.4102,0.689,0.311
378,1440,1.4177,0.6884,0.311
379,1450,1.4264,0.6885,0.3112
380,1460,1.4317,0.6884,0.3112
381,1470,1.4407,0.6885,0.311
