Index,PctInt*100,Lumens,x,y
173,516,1.9884,0.2989,0.6295
174,519,2.0078,0.2991,0.6298
175,522,2.0106,0.299,0.6297
176,525,2.0189,0.2991,0.6294
177,528,2.0378,0.299,0.6296
178,531,2.0452,0.299,0.6294
179,534,2.0553,0.299,0.6296
180,537,2.0622,0.299,0.6296
181,540,2.0791,0.2991,0.6297
182,543,2.0859,0.299,0.6297
183,546,2.0927,0.299,0.6291
184,549,2.1061,0.299,0.6297
185,552,2.1131,0.299,0.6295
186,555,2.1241,0.2991,0.6298
187,558,2.1402,0.299,0.6295
188,561,2.1464,0.299,0.6293
189,564,2.1529,0.299,0.6292
190,567,2.1622,0.299,0.6297
191,570,2.1768,0.2991,0.6298
192,573,2.1854,0.299,0.6294
193,576,2.198,0.299,0.6294
194,579,2.21,0.299,0.6293
195,582,2.2201,0.299,0.6295
196,585,2.2264,0.2991,0.6295
197,588,2.2361,0.299,0.6293
198,591,2.2463,0.2991,0.6296
199,594,2.257,0.299,0.6295
200,597,2.2666,0.2991,0.6294
201,600,2.2754,0.299,0.6297
202,603,2.2841,0.2991,0.6294
203,606,2.2939,0.2991,0.6294
204,609,2.309,0.299,0.6294
205,612,2.3185,0.2991,0.6294
206,615,2.3237,0.299,0.6296
207,618,2.3388,0.2991,0.6296
208,621,2.3464,0.2991,0.6295
209,624,2.3513,0.299,0.6295
210,627,2.3669,0.2991,0.6295
211,630,2.3748,0.2991,0.6296
212,633,2.3829,0.2989,0.6295
213,636,2.388,0.2991,0.6292
214,639,2.406,0.299,0.6294
215,642,2.4108,0.299,0.6295
216,645,2.4206,0.299,0.6295
217,648,2.4397,0.2991,0.6295
218,651,2.4477,0.299,0.6295
219,654,2.4576,0.299,0.6293
220,657,2.4696,0.2991,0.6294
221,660,2.4791,0.2989,0.6294
222,663,2.4847,0.2991,0.6292
223,666,2.4925,0.299,0.6295
224,669,2.4936,0.2991,0.6293
225,672,2.5029,0.2989,0.6291
226,675,2.5114,0.299,0.6295
227,678,2.5342,0.2992,0.6295
228,681,2.5406,0.2991,0.6292
229,684,2.5484,0.2991,0.6292
230,687,2.5671,0.299,0.6291
231,690,2.5731,0.2991,0.6294
232,693,2.5851,0.299,0.6291
233,696,2.5979,0.299,0.6295
234,699,2.6067,0.299,0.6294
235,702,2.6152,0.2991,0.6294
236,705,2.6251,0.2992,0.6295
237,708,2.6277,0.2991,0.6292
238,711,2.6388,0.2991,0.6291
239,714,2.6581,0.299,0.6292
240,717,2.6714,0.299,0.6293
241,720,2.6831,0.2992,0.6291
242,723,2.6923,0.299,0.6295
243,726,2.7014,0.2991,0.6292
244,729,2.7005,0.2991,0.6292
245,732,2.7122,0.299,0.6295
246,735,2.7211,0.2991,0.6294
247,738,2.741,0.299,0.6293
248,741,2.7499,0.2992,0.6294
249,744,2.7557,0.299,0.6293
250,747,2.7668,0.2991,0.6292
251,750,2.7709,0.2991,0.6292
252,753,2.7767,0.2991,0.6292
253,756,2.7941,0.2992,0.6292
254,759,2.8016,0.2991,0.6293
255,762,2.8129,0.2991,0.6294
256,765,2.83,0.299,0.6294
257,768,2.8353,0.2992,0.6293
258,771,2.8457,0.2991,0.6293
259,774,2.8572,0.2991,0.6293
260,777,2.8638,0.2991,0.6292
261,780,2.8752,0.299,0.6293
262,783,2.8838,0.2991,0.6293
263,786,2.8916,0.2992,0.6294
264,789,2.9022,0.2992,0.6291
265,792,2.9126,0.2991,0.6291
266,795,2.924,0.2991,0.6292
267,798,2.9376,0.2991,0.6292
268,801,2.9438,0.2992,0.6294
269,804,2.9482,0.2992,0.6292
270,807,2.9465,0.2991,0.6293
271,810,2.9505,0.299,0.6293
272,813,2.9588,0.2991,0.6293
273,816,2.9839,0.2992,0.6292
274,819,2.9971,0.2992,0.6292
275,822,3.0037,0.2991,0.6292
276,825,3.0143,0.2991,0.6295
277,828,3.0191,0.2992,0.6293
278,831,3.0319,0.2991,0.6291
279,834,3.0453,0.2991,0.6293
280,837,3.0503,0.2992,0.6292
281,840,3.0632,0.2991,0.6293
282,843,3.0721,0.2992,0.6295
283,846,3.0888,0.2991,0.6291
284,849,3.0973,0.2991,0.6291
285,852,3.1028,0.2992,0.6292
286,855,3.1171,0.2991,0.6293
287,858,3.1248,0.2991,0.6293
288,861,3.1364,0.2992,0.6293
289,864,3.1463,0.2991,0.6293
290,867,3.1585,0.2992,0.6291
291,870,3.1642,0.2991,0.6292
292,873,3.1691,0.2992,0.6295
293,876,3.1798,0.2992,0.6292
294,879,3.1916,0.2991,0.6293
295,882,3.1963,0.2992,0.6293
296,885,3.2125,0.2992,0.6292
297,888,3.2222,0.2991,0.6292
298,891,3.23,0.2992,0.6293
299,894,3.2446,0.2992,0.6291
300,897,3.2491,0.2992,0.6293
301,900,3.26,0.299,0.6292
302,903,3.2627,0.2992,0.6292
303,906,3.2651,0.2991,0.6294
304,909,3.2764,0.2992,0.6293
305,912,3.2937,0.2992,0.629
306,915,3.3043,0.2992,0.6294
307,918,3.3113,0.2992,0.6293
308,921,3.3239,0.2991,0.6292
309,924,3.341,0.2991,0.6294
310,927,3.346,0.2991,0.6293
311,930,3.3578,0.2992,0.6293
312,933,3.3735,0.2992,0.6293
313,936,3.3808,0.2992,0.6293
314,939,3.3887,0.2992,0.6292
315,942,3.3981,0.2992,0.629
316,945,3.4106,0.2991,0.6292
317,948,3.4176,0.2991,0.6293
318,951,3.4255,0.2992,0.6293
319,954,3.4356,0.2992,0.6292
320,957,3.4475,0.2992,0.6294
321,960,3.4591,0.2992,0.6291
322,963,3.4738,0.2992,0.6292
323,966,3.4815,0.2991,0.6291
324,969,3.488,0.2991,0.6292
325,972,3.5011,0.2992,0.6291
326,975,3.5163,0.2992,0.6291
327,978,3.5213,0.2992,0.6291
328,981,3.5283,0.2992,0.6292
329,984,3.5358,0.2993,0.6291
330,987,3.5435,0.2993,0.6293
331,990,3.5516,0.2992,0.629
332,993,3.5583,0.2992,0.6291
333,996,3.5718,0.2992,0.629
